"","ensembl_gene_id","hgnc_symbol","Sample_siESR1_3/siESR1_3_rsem.genes.results","Sample_siESR1_1/siESR1_1_rsem.genes.results","Sample_siCTL_2/siCTL_2_rsem.genes.results","Sample_siRecQ1_3/siRecQ1_3_rsem.genes.results","Sample_siRecQ1_2/siRecQ1_2_rsem.genes.results","Sample_siCTL_1/siCTL_1_rsem.genes.results","Sample_siESR1_2/siESR1_2_rsem.genes.results","Sample_siCTL_3/siCTL_3_rsem.genes.results","Sample_siRecQ1_1/siRecQ1_1_rsem.genes.results"
"4708","ENSG00000130764","LRRC47","69.0325502232438","62.3542177928553","56.2334489042563","65.197758768681","58.0711665265476","55.4993513173856","62.2963196665336","57.3306636810856","61.4868360640983"
"4709","ENSG00000130766","SESN2","46.4462545782464","46.7835469635113","44.2732539296404","33.8778003618563","35.3489462738894","42.3480869155532","44.5305232053408","42.413618678228","33.8347764873013"
"4710","ENSG00000130768","SMPDL3B","2.60393383375909","3.26674104689147","6.33941664963547","6.17691621055533","5.70998799095299","6.27096970512088","3.22311256552843","6.95103540339342","5.33188430814137"
"4711","ENSG00000130770","ATP5IF1","88.1941068042753","83.2899742831525","86.5445868120276","140.844574034513","96.9814970628355","90.7894237470132","84.1619153110784","98.4524970188599","98.1009990524521"
"4712","ENSG00000130772","MED18","19.7842364108435","20.4588599871013","19.7368882735614","21.7960787870256","18.8076408567988","20.2854445117068","18.2041397701046","18.9461849933201","17.7540403026409"
"4713","ENSG00000130775","THEMIS2","3.62286446436048","3.81517202556667","4.36316125683413","6.25854946443932","5.68055506316457","6.09324991590693","3.17154276447998","5.65925006293978","6.15435582375892"
"4714","ENSG00000130779","CLIP1","156.574541423934","151.772312142074","113.524322771934","52.7350820090583","75.7309231995981","110.87099827195","174.761288887036","103.096772885729","85.8206484916797"
"4715","ENSG00000130787","HIP1R","131.272229575812","116.052764052706","110.516308070163","114.912410384032","122.499845455393","108.256740172613","120.673334453385","111.616404773959","121.810867571634"
"4716","ENSG00000130803","ZNF317","30.9924733474588","28.852238443348","30.0544813632516","22.3947226488416","31.5520985891835","30.7455235340137","31.1997296343152","30.0801443562777","27.5953374033061"
"4717","ENSG00000130810","PPAN","38.2215031352893","35.3618757119711","37.8568403166491","46.3304090201666","36.9459769356889","38.7175255073253","33.4945857809715","38.3346526817765","40.14625273163"
"4718","ENSG00000130811","EIF3G","175.816763346555","163.044476339863","158.143036410498","223.445726198722","170.941735326682","158.525290322606","150.761734875106","159.869200758976","155.269008826956"
"4719","ENSG00000130813","SHFL","17.3221037565098","16.3413355785085","11.7225310143907","13.7775163688475","11.163320851591","12.8387314582291","17.0219020810688","12.7191645164572","12.012905512763"
"4720","ENSG00000130816","DNMT1","231.268949517886","204.064013717497","198.575168494857","153.035139947855","195.169744164996","184.498529745399","222.265842518841","188.446875737131","202.668325882863"
"4721","ENSG00000130821","SLC6A8","25.7563020513128","24.3694113133071","32.0820680649568","32.0818687764085","30.2570497664931","28.9934602977773","26.2748136341878","31.9563087793176","30.2045573838859"
"4722","ENSG00000130826","DKC1","134.997553175805","137.990003199715","145.421598124836","140.463618849721","132.389309192302","144.689296961473","136.273199270542","144.495417367886","136.019772031096"
"4723","ENSG00000130827","PLXNA3","113.525854426171","92.3033181935537","118.472660950273","91.5380886885821","116.524961114345","124.37846390845","121.369526767539","112.969703702053","127.539807094211"
"4724","ENSG00000130829","DUSP9","1.50009231727426","1.69298258634521","1.84792712054151","1.55103182379583","2.38406715086181","1.77719789213952","1.13453562306601","1.63011007247722","1.92855389868943"
"4725","ENSG00000130844","ZNF331","34.3889087827967","32.8104794198734","18.9155873310986","18.830070562574","19.1902689180482","20.0061705572277","34.5259818019406","18.0234811787104","18.6615950784948"
"4726","ENSG00000130856","ZNF236","20.2087908402608","20.148877260024","19.6855569646575","11.3470222898748","20.0732567517007","17.6450362148138","22.9743463670867","19.3767801068047","21.100648538602"
"4727","ENSG00000130881","LRP3","57.7394024007451","47.2365986415474","54.4111874381668","65.197758768681","56.7466847760688","52.7827773965438","47.2895075614332","57.6382316192888","59.2463102112092"
"4728","ENSG00000130921","MTRFR","20.6050416410502","19.5527566310292","20.5068579071204","23.1566330184255","20.8090799464111","21.0471007511952","21.077093386514","20.0534295708518","20.5617878904388"
"4729","ENSG00000130935","NOL11","163.368544439755","186.800360301808","167.211482098011","161.524998351791","162.469761392064","169.722398699324","171.443803585588","161.073329237041","153.575284726519"
"4730","ENSG00000130939","UBE4B","59.3810128611584","56.8699080061032","86.3649272308638","64.680748160749","80.0869965122839","82.5381478192226","60.5687313314103","81.4747468300406","82.8427343834093"
"4731","ENSG00000130940","CASZ1","41.1817796534726","34.7419102578165","35.3416061803565","23.5375882032175","34.1421962345642","36.2802255409625","43.9890402943321","35.03198816135","39.0248553617156"
"4732","ENSG00000130956","HABP4","19.9767010855127","19.2470659724807","22.3275794339428","26.6374749640389","21.3326917317671","19.7708187792258","19.1971162892926","20.0143684427","22.0870471356082"
"4733","ENSG00000130958","SLC35D2","39.426954678548","40.9177199742026","39.6534361282867","29.9049820061688","23.340311736215","38.3366973875811","37.6717396658963","40.5989678428288","22.8873970035643"
"4734","ENSG00000130962","PRRG1","8.73591497597548","10.0040963957906","11.054454029006","6.10072517359694","8.53554905864106","11.0516320349762","10.4057544555572","10.8805233818781","7.82765994173946"
